ID,Productos,Calificación
1,"Procesador AMD Ryzen 3 3300X S-AM4, 3.80GHz, Quad-Core, 16MB L2 Cache",5.0
6,"Procesador Intel Core i9-9900K, S-1151, 3.60GHz, 8-Core, 16MB Smart Cache (9na. Generación Coffee Lake)",5.0
7,"Procesador Intel Core i7-9700K, S-1151, 3.60GHz, 8-Core, 12MB Smart Cache (9na. Generación Coffee Lake)",5.0
8,"Procesador Intel Core i5-9600K, S-1151, 3.70GHz, Six-Core, 9MB Smart Cache (9na. Generiación - Coffee Lake)",5.0
11,"Tarjeta de Video ASUS AMD Radeon RX 570, 4GB 256-bit GDDR5, PCI Express 3.0",5.0
21,"Tarjeta de Video MSI AMD Mech Radeon RX 5500 XT MECH Gaming OC, 8GB 128-bit GDDR6, PCI Express 4.0",5.0
22,"Tarjeta de Video MSI NVIDIA GeForce GTX 1050 Ti OC, 4GB 128-bit GDDR5, PCI Express x16 3.0",5.0
25,"Tarjeta de Video Sapphire AMD Pulse Radeon RX 5500 XT Gaming, 8GB 128-bit GDDR6, PCI Express 4.0",5.0
28,"Tarjeta de Video Zotac NVIDIA GeForce GTX 1660 Ti, 6GB 192-bit GDDR6, PCI Express x16 3.0",5.0
40,"Tarjeta Madre Gigabyte XL-ATX TRX40 Designare, S-sTRX4, AMD TRX40, 256GB DDR4 para AMD",5.0
49,"Kit SSD Kingston KC600, 1TB, SATA III, 2.5, 7mm",5.0
50,"SSD Crucial MX500, 1TB, SATA III, M.2",5.0
52,"SSD Western Digital WD Blue 3D NAND, 2TB, M.2",5.0
60,"Kit Memoria RAM Corsair Dominator Platinum DDR4, 3200MHz, 16GB (2x 8GB), Non-ECC, CL16, XMP",5.0
66,"TCL Smart TV LED 55S425 54.6, 4K Ultra HD, Widescreen, Negro",5.0
67,"TV Monitor LED 24TL520S-PU 24, HD, Widescreen, HDMI, Negro",5.0
84,"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",5.0
85,"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",5.0
57,"SSD Adata Ultimate SU800, 256GB, SATA III, 2.5'', 7mm",4.87
3,"Procesador AMD Ryzen 5 2600, S-AM4, 3.40GHz, Six-Core, 16MB L3 Cache, con Disipador Wraith Stealth",4.81
