ID,Producto,Busquedas
96,"Klip Xtreme Audífonos Blast, Bluetooth, Inalámbrico, Negro/Verde",0
92,"Getttech Audífonos con Micrófono Sonority, Alámbrico, 1.2 Metros, 3.5mm, Negro/Rosa",0
90,"Energy Sistem Audífonos con Micrófono Headphones 1, Bluetooh, Inalámbrico, Negro/Grafito",0
88,"Audífonos Gamer Balam Rush Orphix RGB 7.1, Alámbrico, USB, Negro",0
87,"Acer Audífonos Gamer Galea 300, Alámbrico, 3.5mm, Negro",0
86,"ASUS Audífonos Gamer ROG Theta 7.1, Alámbrico, USB C, Negro",0
83,"Ghia Bocina Portátil BX500, Bluetooth, Inalámbrico, 10W RMS, USB, Gris",0
82,"Ghia Bocina Portátil BX400, Bluetooth, Inalámbrico, 8W RMS, USB, Negro",0
81,"Ghia Bocina Portátil BX900, Bluetooth, Inalámbrico, 2.1 Canales, 34W, USB, Negro - Resistente al Agua",0
79,"Naceb Bocina Portátil NA-0301, Bluetooth, Inalámbrico, USB 2.0, Rojo",0
